Herkunftsland;WS 2025;WS 2024;Diff (abs);Diff (%)
Indien;10119;10130;-11;-0.11
Pakistan;4284;4783;-499;-10.43
Türkei;3147;2571;576;22.4
Deutschland;2533;2425;108;4.45
Iran (Islamische Republik);2393;2369;24;1.01
China;2048;2096;-48;-2.29
Ghana;1225;905;320;35.36
Bangladesch;1129;1957;-828;-42.31
Ägypten;1088;932;156;16.74
Ukraine;892;779;113;14.51
Alle Andere;13721;12583;1138;9.04
